% teensy communication to/from Teensy
% 1 	Time (sec) from system
% 2 	(Tx) Send to Teensy
%   	(Rx) Received from Teensy
%   	(Qu N) Put in queue to Teensy, now queue size N
% 3 	Message string queued, send or received
1777025564.4275 ## Connection to USB open
1777025565.1356 Rx ;44pose 2128.3801 0.000 0.000 0.0000 3.1295
1777025565.1378 Rx ;92mca 0.001 0.000 17
1777025565.1389 Rx ;89gyro 0.091553 -2.349854 1.098633 2128.384
1777025565.1400 Rx ;96acc 0.032471 -0.000244 1.172363 2128.385
1777025565.1401 Rx ;48pose 2128.3850 0.000 0.000 0.0000 3.1295
1777025565.1407 Txd ;62leds 14 0 80 0
1777025565.1412 Rx ;89svo 0 0 0  0 0 0  0 0 0  0 0 0  0 0 0
1777025565.1424 Rx ;62vel 2128.3879 0.000 0.000 0.0000 0.000 4
1777025565.1435 Rx ;64ird 0.339 1.500 6666 2518 1
1777025565.1447 Rx ;06livn 81 93 77 85 93 93 108 36 5
1777025565.1458 Rx ;45pose 2128.3901 0.000 0.000 0.0000 3.1295
1777025565.1502 Rx ;49pose 2128.3950 0.000 0.000 0.0000 3.1295
1777025565.1503 Rx ;45gyro -0.274658 -2.227783 0.671387 2128.396
1777025565.1504 Rx ;53vel 2128.3960 0.000 0.000 0.0000 0.000 4
1777025565.1516 Rx ;20acc 0.032471 -0.003906 1.169189 2128.397
1777025565.1547 Rx ;36mot 0 0 0.1 0.1 0
1777025565.1547 Rx ;58livn 97 91 84 90 88 81 84 16 5
1777025565.1559 Rx ;62pose 2128.3999 0.000 0.000 0.0000 3.1295
